Gemeente,webpagina,contact,vergif aangeboden,klemmen aangeboden,rattenvanger aangeboden,Preventietips,Klemmen voor vergif?
Stabroek,https://www.stabroek.be/rattenbestrijding-0,milieudienst@stabroek.be,ja,nee,ja,ja,nee
Staden,http://www.staden.be/product/411/rattenbestrijding,ruimte@staden.be,nee,nee,ja,ja,nee
Steenokkerzeel,https://www.steenokkerzeel.be/product/535/bestrijden-van-bruine-ratten,groen@steenokkerzeel.be,nee,nee,ja,ja,nee
Stekene,https://www.stekene.be/product/429/rattenbestrijding,gemeente@stekene.be,ja,nee,ja,nee,nee
Temse,via mail,milieu@temse.be,nee,nee,ja,NA,NA
Ternat,https://www.ternat.be/rattenbestrijding,milieu@ternat.be,nee,nee,ja,nee,nee
Tervuren,https://www.tervuren.be/afval-en-milieu/rattenbestrijding,onthaal@tervuren.be,nee,nee,nee,ja,nee
Tessenderlo,NA,infovdw@tessenderlo.be,NA,NA,NA,NA,NA
Tielt,https://www.tielt.be/product/168/overlast-dieren-zwerfkatten-loslopende-honden-ratten-,technischedienst@tielt.be,nee,nee,nee,nee,nee
Tielt-Winge,https://www.tielt-winge.be/product.aspx?id=205,milieu@tielt-winge.be,nee,nee,ja,ja,nee
Tienen,https://www.tienen.be/verdelging-van-ratten,technischedienst@tienen.be,ja,nee,nee,nee,nee
Tongeren,NA,milieu@stadtongeren.be,NA,NA,NA,NA,NA
Torhout,https://www.torhout.be/bestrijden-van-ratten,ruimte@torhout.be,nee,nee,nee,ja,nee
Tremelo,https://www.tremelo.be/product/139/rattenverdelging,openbarewerken@tremelo.be,nee,nee,nee,ja,nee
Turnhout,https://www.turnhout.be/rattenbestrijding,stad@turnhout.be,nee,nee,ja,ja,ja
Veurne,https://www.veurne.be/nl/rattenplaag-beter-voorkomen-dan-genezen,technischedienst@veurne.be,nee,nee,nee,ja,ja
Vilvoorde,NA,info@vilvoorde.be,NA,NA,NA,NA,NA
Vleteren,https://www.vleteren.be/schade-door-dieren,milieu@vleteren.be,nee,nee,nee,nee,nee
Voeren,NA,info@devoor.be,NA,NA,NA,NA,NA
Vorselaar,https://www.vorselaar.be/wonen-leven/milieu-en-afval/milieu-en-natuurbeleid/ratten,nele.vleugels@vorselaar.be,nee,nee,nee,ja,ja
Vosselaar,http://www.vosselaar.be/product.aspx?id=377,veronique.kusse@vosselaar.be,ja,ja,ja,ja,ja
Waasmunster,NA,milieu@waasmunster.be,NA,NA,NA,NA,NA
Wachtebeke,https://www.wachtebeke.be/meldpunt-ratten,info@wachtebeke.be,nee,nee,ja,ja,nee
Waregem,https://www.waregem.be/producten/rattenbestrijding-op-het-openbaar-domein,milieuzorg@waregem.be,nee,nee,nee,ja,ja
Wellen,NA,omgeving@wellen.be,NA,NA,NA,NA,NA
Wemmel,https://www.wemmel.be/nl/product/182/rattenverdelging,omgeving@wemmel.be,nee,nee,ja,nee,nee
Wervik,NA,leefomgeving@wervik.be,NA,NA,NA,NA,NA
Westerlo,https://www.westerlo.be/ratten,info@westerlo.be,nee,nee,ja,ja,nee
Wetteren,https://www.wetteren.be/rattenoverlast,wetteren@wetteren.be,nee,nee,ja,nee,nee
Wevelgem,https://www.wevelgem.be/producten/rattenbestrijding,info@wevelgem.be,nee,nee,nee,nee,nee
Wezembeek-Oppem,NA,info@wezembeek-oppem.be,NA,NA,NA,NA,NA
Wichelen,via mail,milieudienst@wichelen.be,nee,nee,ja,NA,NA
Wielsbeke,NA,info@wielsbeke.be,NA,NA,NA,NA,NA
Wijnegem,via mail,leefmilieu@wijnegem.be,nee,nee,ja,NA,NA
Willebroek,http://www.willebroek.be/nl/content/1456/ratten.html,info@willebroek.be,nee,nee,nee,ja,ja
Wingene,via mail,milieu@wingene.be,nee,nee,ja,NA,NA
Wommelgem,https://www.wommelgem.be/ratten,omgeving@wommelgem.be,nee,nee,nee,ja,nee
Wortegem-Petegem,https://www.wortegem-petegem.be/inwoner/milieu/fauna-flora/ratten,milieudienst@wortegem-petegem.be,nee,nee,ja,ja,nee
Wuustwezel,https://www.wuustwezel.be/lastige-planten-en-dieren,groen@wuustwezel.be,nee,nee,nee,ja,nee
Zandhoven,NA,milieu@zandhoven.be,NA,NA,NA,NA,NA
Zaventem,NA,milieudienst@zaventem.be,NA,NA,NA,NA,NA
Zedelgem,https://www.zedelgem.be/dierenhinder,milieu@zedelgem.be,nee,nee,ja,ja,ja
Zele,https://www.zele.be/bestrijdingongedierte,infrastructuur@zele.be,nee,nee,ja,nee,nee
Zelzate,https://www.zelzate.be/nl/dieren/ongedierte,onthaal@zelzate.be,nee,nee,ja,ja,nee
Zemst,https://www.zemst.be/rattenvergif,info@zemst.be,ja,nee,ja,nee,nee
Zoersel,https://www.zoersel.be/wonen-en-omgeving/natuur-milieu-en-omgeving/ratten-en-muizen-bestrijden,onderhoud.infrastructuur@zoersel.be,nee,nee,ja,ja,ja
Zonhoven,NA,leefmilieu@zonhoven.be,NA,NA,NA,NA,NA
Zonnebeke,https://www.zonnebeke.be/omgeving/Afval_Netheid/Ongedierte,milieu@zonnebeke.be,nee,ja,nee,ja,ja
Zottegem,https://www.zottegem.be/natuur-en-milieu/verdelging-van-onkruid-en-ongedierte.aspx,openbarewerken@zottegem.be,nee,nee,nee,ja,nee
Zoutleeuw,https://www.zoutleeuw.be/product/177/rattenvergif,milieu@zoutleeuw.be,nee,nee,ja,ja,nee
Zuienkerke,via mail,patrick.vandenfonteyne@zuienkerke.be,nee,nee,nee,NA,NA
Zulte,https://www.zulte.be/bestrijding-ratten,milieu@zulte.be,nee,nee,nee,nee,nee
Zutendaal,https://www.zutendaal.be/rattenbestrijding,milieudienst@zutendaal.be,nee,nee,ja,nee,nee
Zwalm,https://www.zwalm.be/wonen/milieu-en-natuur/dieren-en-ongedierte/rattenbestrijding.aspx,milieu@zwalm.be,nee,nee,nee,ja,ja
Zwevegem,https://www.zwevegem.be/producten/rattenbestrijding,atd@zwevegem.be,nee,nee,nee,ja,nee
Zwijndrecht,https://www.zwijndrecht.be/rattenbestrijding,gemeentebestuur@zwijndrecht.be,ja,nee,nee,ja,nee
